Name,Spotify ID
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Drake,3TVXtAsR1Inumwj472S9r4
Rihanna,5pKCCKE2ajJHZ9KAiaK11H
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Justin Bieber,1uNFoZAHBGtllmzznpCI3s
Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Bad Bunny,4q3ewBCX7sLwd24euuV69X
Eminem,7dGJo4pcD2V6oG8kP0tJRR
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Marshmello,64KEffDW9EtZ1y2vBYgq8T
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
SZA,7tYKF4w9nC0nq9CsPZTHyP
21 Savage,1URnnhqYAYcrqrcwql10ft
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
Maroon 5,04gDigrS5kc9YWfZHwBETP
Calvin Harris,7CajNmpbOovFoOoasH2HaY
Post Malone,246dkjvS1zLTtiykXe5h60
Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Shakira,0EmeFodog0BfCgMzAIvKQp
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Peso Pluma,12GqGscKJx3aE4t07u7eVZ
Lana Del Rey,00FQb4jTyendYWaN8pK0wa
Katy Perry,6jJ0s89eD6GaHleKKya26X
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
Adele,4dpARuHxo51G3z768sgnrY
Lady Gaga,1HY2Jd0NmPuamShAr6KMms
Tate McRae,45dkTj5sMRSjrmBSBeiHym
Jack Harlow,2LIk90788K0zvyj2JJVwkJ
Harry Styles,6KImCVD70vtIoJWnq6nGn3
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
