Song,Song ID
"One Of The Girls (with JENNIE, Lily Rose Depp)",1VNWdmXSbaNrnWod10WIL0
Popular (with Playboi Carti & Madonna),7GUhiAHLoVy1V8ucQuZ3CB
Starboy,7MXVkk9YMctZqd1Srtv4MB
Die For You,2LBqCSwhJGcFQeTHMVGwy3
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO
Stargirl Interlude,5gDWsRxpJ2lZAffh5p7K0w
Save Your Tears,5QO79kh1waicV47BqGRL3g
The Hills,7fBv7CLKzipRk6EC6TWHOB
Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
Lover,1dGr1c8CrMLDpV6mPbImSI
Anti-Hero,0V3wPSX9ygBnCm8psDIegu
Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz
cardigan,4R2kfaDFhslZEMJqAFNpdd
Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE
august,3hUxzQpSfdDqwM3ZTFQY0K
You’re Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4
Blank Space,1p80LdxRV74UKvL8gnD7ky
Karma,7KokYm8cMIXCsGVmUvKtqf
Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6
IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE
One Dance,1zi7xx7UVEFkmKfv06H8x0
First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU
Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe
God's Plan,6DCZcSspjsKoFjzjrWoCdn
Passionfruit,5mCPDVBb16L4XQwDdbRUpz
MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb
Rich Flex,1bDbXMyjaUIooNwFE9wn0N
Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS
We Found Love,6qn9YLKt13AGvpq9jfO8py
Umbrella,2yPoXCs7BSIUrucMdK5PzV
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i
Diamonds,1z9kQ14XBSN0r2v6fx4IdG
Love On The Brain,5oO3drDxtziYU2H1X23ZIp
S&M,7ySUcLPVX7KudhnmNcgY2D
Stay,789CxjEOtO76BVD1A9yJQH
Needed Me,4pAl7FkDMNBsjykPXo91B3
This Is What You Came For,0azC730Exh71aQlOt9Zj3y
Don't Stop The Music,1Jo0Zg7XlrA6z0mFTZVdkn
"yes, and?",7gaA3wERFkFkgivjwbSvkG
Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX
7 rings,6ocbgoVGwYJhOv1GgI9NsF
Dangerous Woman,6RUhbFEhrvGISaQ8u2j2JN
One Last Time,7xoUc6faLbCqZO6fQEYprd
Into You,63y6xWR4gXz7bnUGOk8iI6
positions,35mvY5S1H3J2QZyna3TFe0
bloodline,2hloaUoRonYssMuqLCBLTX
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ
Ghost,6I3mqTwhRpn34SLVafSH7G
STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo
Love Yourself,50kpGaPAhYJ3sGmk6vplg0
Beauty And A Beat,6QFCMUUq1T2Vf5sFUXcuQ7
Sorry,09CtPGIpYB4BrO8qb1RGsF
Baby,6epn3r7S14KUqlReYr77hA
bad guy,69u7FJV6RIbQS3VuqLPSwl
What Do You Mean?,4B0JvthVoAAuygILe3n4Bs
Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI
Private Landing (feat. Justin Bieber & Future),52NGJPcLUzQq5w7uv4e5gf
Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh
Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
Talking to the Moon,161DnLWsx1i3u1JT05lzqU
Grenade,2tJulUYLDKOg9XrtVkMgcJ
It Will Rain,0RUGuh2uSNFJpGMSsD1F5C
Marry You,22PMfvdz35fFKYnJyMn077
Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T
The Lazy Song,1ExfPZEiahqhLyajhybFeS
Yellow,3AJwUDP919kvQ9QcozQPxg
Viva La Vida,1mea3bSkSGXuIRvnydlB5b
Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Sparks,7D0RhFcb3CrfPuTJ0obrod
